objID,ra,dec,Photoz,Photoz_err
587725994647356613,250.01523752,46.72577023,0.215128,0.026141
587725994647356654,250.09851945,46.75423868,0.203527,0.034209
587725994647356660,250.02029584,46.7179684,0.234066,0.048036
587725994647356665,250.09822287,46.75158992,0.074328,0.025177
587725994647356718,250.09011987,46.73648931,0.263342,0.033181
587725994647420967,250.12377478,46.72766447,0.217303,0.040041
587725994647420980,250.07657183,46.67248419,0.178128,0.010925
587725994647420986,250.11419519,46.68634676,0.087752,0.036185
587725994647421015,250.1182507,46.67206094,0.183356,0.026107
587725994647421018,250.12649914,46.67942379,0.209955,0.016004
587725994647421198,250.10434254,46.73838705,0.129816,0.025322
587725994647421199,250.10595856,46.73602369,0.209755,0.020624
587725994647421201,250.02434785,46.7011306,0.150502,0.037783
587725994647421207,250.04746465,46.70869774,0.20731,0.017296
587725994647421208,250.04452713,46.70701789,0.188899,0.026654
587725994647421214,250.03789825,46.70316613,0.279717,0.073382
587725994647421267,250.05328051,46.68609485,0.223501,0.014631
587725994647421268,250.05559319,46.68521946,0.226726,0.013979
587725994647421303,250.09124642,46.68775631,0.218147,0.086356
587725994647421304,250.0915823,46.68816091,0.066459,0.025219
587725994647421305,250.08986394,46.68831089,0.335787,0.032094
587725994647421308,250.13313326,46.70830305,0.177135,0.032318
587725994647421311,250.08059827,46.68258964,0.188124,0.012941
587725994647421312,250.08091244,46.68473001,0.192339,0.011059
587725994647421320,250.0898049,46.67995508,0.111871,0.032645
587725994647421331,250.08493577,46.6700222,0.184769,0.010422
587725994647421332,250.0803548,46.66897099,0.233937,0.031579
587725994647421333,250.08299593,46.66993887,0.132116,0.012517
587725994647421343,250.10758386,46.67589699,0.21382,0.011076
587725994647421488,250.09093394,46.73294262,0.19993,0.031376
587725994647421496,250.11119138,46.7369871,0.219658,0.021485
587725994647421498,250.03781436,46.69791187,0.195649,0.015638
587725994647421500,250.1066173,46.7283754,0.18062,0.011091
587725994647421501,250.10422982,46.72942123,0.138945,0.025763
587725994647421504,250.05179554,46.70349366,0.211593,0.039976
587725994647421519,250.05184502,46.6998911,0.197534,0.012091
587725994647421536,250.12233959,46.72088362,0.216713,0.010816
587725994647421546,250.11800157,46.69603166,0.192403,0.04823
587725994647421548,250.08013277,46.67809491,0.191219,0.061215
587725994647421553,250.12796544,46.69610319,0.19041,0.01597
587725994647421696,250.10589387,46.69227939,0.077434,0.043738
587725994647421806,250.03560273,46.70855456,0.208134,0.015797
587725994647421880,250.05811425,46.69441693,0.2404,0.035862
587725994647421894,250.11774019,46.71662807,0.510582,0.137272
587725994647421901,250.11572644,46.71383749,0.216034,0.020999
587725994647421909,250.06564555,46.68927233,0.209497,0.012697
587725994647421935,250.12407706,46.70859897,0.255251,0.057196
587725994647421964,250.12303699,46.7018202,0.19357,0.031437
587725994647421992,250.09065814,46.68418775,0.20913,0.048493
587725994647422008,250.10651981,46.68730191,0.193128,0.024762
587725994647421347,250.13336384,46.68265762,0.247645,0.055705
587725994647421511,250.0357341,46.6952536,0.192796,0.036648
587725994647421535,250.13886328,46.73013916,0.191221,0.017106
