,tile,dither,fiber,fiber_ra,fiber_dec,objID,GroupID,Separation,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,20.0,260.62437500000004,32.158055555555556,5.87729233059645e+17,,0.4929758460482486,22.57901,0.395341,21.140532,0.049011,20.328770000000002,0.036095999999999996,20.031431,0.048855,19.514305,0.09787799999999999,0.099623,0.040951999999999995,,,,,
1,NE,D1,45.0,260.61495833333333,32.15461111111111,5.877292330596444e+17,,1.7250392463583846,23.232079000000002,0.506272,21.233486,0.040785,19.800098000000002,0.018595,19.707420000000003,0.026358999999999997,18.939175,0.043026,0.186548,0.043718,,,,,
2,NE,D1,71.0,260.64208333333335,32.152944444444444,5.877292330596452e+17,,0.8899063495461594,21.525087,0.177278,20.407951,0.029751999999999997,19.696503,0.023697,19.267279000000002,0.027208,18.917579999999997,0.067899,0.132131,0.038131,,,,,
3,NE,D1,75.0,260.61725,32.15119444444444,5.877292330596447e+17,,1.8175798586762013,21.338022,0.18240599999999998,20.183537,0.029761000000000003,19.347397,0.021097,18.951412,0.025047999999999997,18.620562,0.060830999999999996,0.17246199999999998,0.030099,,,,,
4,NE,D1,98.0,260.63733333333334,32.1495,5.877292330596445e+17,,1.624967207937274,23.328285,0.561945,21.590517000000002,0.05611699999999999,20.202351,0.026532,19.697403,0.027244,19.234192,0.056786,0.20708200000000002,0.026993,,,,,
5,NE,D1,112.0,260.636125,32.14780555555556,5.877292330596452e+17,,1.5809164890636798,22.879765,0.35451900000000003,21.854549,0.062329999999999997,20.580225,0.031370999999999996,20.037275,0.031908,19.790229999999998,0.08000499999999999,0.23690100000000003,0.08015900000000001,,,,,
6,NE,D1,233.0,260.61375,32.132222222222225,5.877292330596443e+17,1.0,1.9445218409162357,19.469761,0.133252,17.004684,0.007804439,15.579014,0.003901628,15.034473,0.004136485,14.676114000000002,0.008696746,0.225327,0.011647,8.373410540625592e+17,260.61327,32.132571999999996,0.22330999999999998,0.000243577
7,SE,D1,1.0,260.61375,32.13277777777777,5.877292330596443e+17,1.0,1.6574775435699736,19.469761,0.133252,17.004684,0.007804439,15.579014,0.003901628,15.034473,0.004136485,14.676114000000002,0.008696746,0.225327,0.011647,8.373410540625592e+17,260.61327,32.132571999999996,0.22330999999999998,0.000243577
8,NE,D1,244.0,260.63975,32.13227777777778,5.877292330596453e+17,2.0,1.0738539892229566,24.768836999999998,0.954259,21.91078,0.070628,20.46348,0.030706999999999998,19.945238,0.032147,19.802294,0.088603,0.2171,0.020315,,,,,
9,SE,D1,12.0,260.63966666666664,32.13286111111111,5.877292330596453e+17,2.0,1.7589247381404731,24.768836999999998,0.954259,21.91078,0.070628,20.46348,0.030706999999999998,19.945238,0.032147,19.802294,0.088603,0.2171,0.020315,,,,,
10,NE,D2,122.0,260.62441666666666,32.145555555555546,5.877292330596444e+17,,1.2544070645901968,22.800698999999998,0.384273,21.113697,0.039611,19.720646,0.018504,19.196207,0.019046,18.738989,0.03953,0.220419,0.036751,,,,,
11,NE,D2,136.0,260.62320833333337,32.14377777777778,5.877292330596444e+17,,1.3067417601235194,25.121616,1.052346,21.952839,0.08662,20.959003,0.054277,20.427462,0.057477,20.260704,0.161029,0.143989,0.028291000000000004,,,,,
12,NE,D2,142.0,260.637375,32.14377777777778,5.877292330596442e+17,,1.1629677553189,20.567364,0.081762,19.842836,0.019911,19.322657,0.017999,19.099836,0.024378,18.968567,0.070121,0.13409300000000002,0.07739299999999999,,,,,
