,MEM_MATCH_ID,RA_1,DEC_1,BCG_SPEC_Z,SPECID,SURVEY_CODE,RA_2,DEC_2,Z_2
53,4749,180.8539033040441,1.3802175732811224,0.42062706,145464499543998464,1,180.85388999999998,1.38019,0.4208
54,4878,215.06931641782106,0.9552708479618168,0.5071278,85790054005342208,1,215.06935,0.9553,0.507
55,4981,185.43028165134587,0.3295161664110092,0.15889484,81288133936676864,1,185.43028999999999,0.32952,0.15891
56,5112,216.24292059839496,1.1536153486828284,0.30416495,86071546182893568,1,216.24291000000002,1.1536,0.30426
57,5197,133.12555938441255,0.4204988956006628,-1.0,G09_Y1_DS1_255,5,133.12558,0.4205,0.23715
58,5352,133.84961666924843,1.8314354475545902,0.26173812,132234730090266624,1,133.84963,1.83145,0.26175
59,5413,182.47787453363568,-0.5576664957192152,0.18158501,81006756557225984,1,182.47789,-0.55766,0.18161
60,5510,184.10331435306477,-0.08030490303278433,0.27557784,81288133257199616,1,184.10332,-0.08027000000000001,0.27551
61,5584,130.85213933158016,-0.2469861618206746,-1.0,G09_Y1_BS1_202,5,130.85211999999999,-0.24698,0.34043
62,5697,216.21832258872524,0.22465132630310186,-1.0,G15_Y1_DS1_297,5,216.21829,0.22464,0.32614
63,5728,130.9902704391492,0.6173053538602647,0.279968,131671728198778880,1,130.99025,0.61731,0.28009
64,6031,133.51740048495344,2.4143435649024325,0.36114922,159257667410329600,1,133.5174,2.41433,0.36132
65,6261,135.50260683316878,2.393260174010468,0.20159099,132797727321882624,1,135.5026,2.39328,0.2016
66,6441,129.75343423569518,2.0154427432512048,0.358516,G09_Y1_AX1_110,5,129.75346000000002,2.01539,0.35881
67,6470,131.0111287541082,1.0935211376264102,-1.0,G09_Y1_BN1_101,5,131.01108,1.09351,0.28459
68,6622,175.55355821022994,0.6328726855610911,0.30603945,G12_Y1_AT_345,5,175.55354,0.6328600000000001,0.30633
69,6648,132.56608870695644,0.4880889477413213,0.1655016,131953250587901952,1,132.56609,0.48808999999999997,0.16551
70,6679,133.82216039853387,1.5859009850822712,0.32378814,131953251862970368,1,133.82216,1.58589,0.32385
71,6714,129.34674581903423,1.4104730999100392,-1.0,G09_Y1_test_227,5,129.34675,1.4104700000000001,0.34698
72,6776,178.3788831568557,-1.734534718427052,-1.0,6dFg1153309-014405,6,178.37883,-1.7346099999999998,0.13641
