,MEM_MATCH_ID_2,RA_1a,DEC_1a,Z_1a,ZSPEC,SPECID_2,RA_2a,DEC_2a,Z_2a
16,33,213.51582065319093,-0.3672441680041261,0.13761522,-1.0,G15_Y1_BS1_105,213.51578999999998,-0.36724,0.13693
17,33,213.52742669711316,-0.30143925803889154,0.13761522,-1.0,G15_Y1_BS1_182,213.52742,-0.30146,0.13565
18,33,213.5359882950888,-0.3016709841675572,0.13761522,-1.0,G15_Y1_BS1_095,213.53596000000002,-0.30169,0.14037
19,33,213.60024185108853,-0.3776437738556696,0.13761522,0.1377273,LTF_10_0608_2323,213.60025,-0.37765,0.13782
20,33,213.60218831483127,-0.3774152706782225,0.13761522,0.13940164,85508603645001728,213.60221,-0.37742,0.13942000000000002
21,33,213.60635793716432,-0.37673409306187183,0.13761522,-1.0,G15_Y1_BS2_080,213.60632999999999,-0.37672,0.13604000000000002
22,33,213.59346322155548,-0.3752364418009165,0.13761522,-1.0,G15_Y1_BS1_115,213.59342,-0.37525,0.13785
23,33,213.60544255181446,-0.3582180798951154,0.13761522,-1.0,G15_Y1_BS2_206,213.60542,-0.35823,0.13635999999999998
24,33,213.6112816913184,-0.3629199588871153,0.13761522,-1.0,G15_Y1_BS1_015,213.61125,-0.36293000000000003,0.13682
25,33,213.62167519546242,-0.3747404024268475,0.13761522,0.13609557,85790053111955456,213.62167999999997,-0.37475,0.13613
26,33,213.6206532868541,-0.3750919128095381,0.13761522,-1.0,G15_Y1_BS1_099,213.62062000000003,-0.37511,0.13485
27,33,213.6263364980577,-0.374356770328406,0.13761522,0.13723347,85508603506589696,213.62635,-0.37435999999999997,0.13724
28,33,213.6149641872955,-0.3792678150810349,0.13761522,-1.0,G15_Y3_048_024,213.61496,-0.37928,0.13377999999999998
29,33,213.5751683336552,-0.37097542507790415,0.13761522,-1.0,G15_Y3_048_025,213.57517,-0.37099,-9.999989999999999
30,33,213.60682531575955,-0.3205429099163917,0.13761522,-1.0,G15_Y1_BS1_135,213.60679,-0.32056,0.14377
31,33,213.60594746555756,-0.3200125187308123,0.13761522,-1.0,G15_Y1_BS2_376,213.60592000000003,-0.32,0.13895
32,33,213.618333099242,-0.3300622402779632,0.13761522,0.14067295,85508603514978304,213.61834,-0.33007,0.1407
33,33,213.6116410710249,-0.35653492054077546,0.13761522,-1.0,G15_Y3_048_023,213.61163,-0.35655,0.13906
34,33,213.6212112146885,-0.3494787560834389,0.13761522,-1.0,G15_Y1_BS1_021,213.62117,-0.34951,0.13663
35,33,213.54072686093917,-0.2779184300331197,0.13761522,-1.0,G15_Y2_022_032,213.54071000000002,-0.27793,0.18488
36,33,213.55043728677262,-0.2691871751702961,0.13761522,-1.0,G15_Y3_048_018,213.55042000000003,-0.26921,0.14222
37,33,213.60558059292583,-0.2018591099152534,0.13761522,-1.0,G15_Y1_BS2_227,213.60554,-0.20188,0.12905999999999998
38,33,213.59805878124803,-0.2192568575625968,0.13761522,0.14065365,85508603649196032,213.59804,-0.21929,0.14074
39,33,213.5500391821272,-0.26499736450793443,0.13761522,-1.0,G15_Y1_BS1_395,213.55,-0.26503000000000004,0.1465
40,33,213.5670575097104,-0.2613683903834623,0.13761522,-1.0,G15_Y1_BS2_244,213.56704,-0.2614,0.14062
41,33,213.604336514169,-0.27501625467493473,0.13761522,-1.0,G15_Y1_BS2_212,213.60432999999998,-0.27503,0.1395
42,33,213.5560926983285,-0.3668699039972685,0.13761522,-1.0,G15_Y1_BS2_215,213.55607999999998,-0.36689,0.13577999999999998
43,33,213.56773057595024,-0.3512503311937278,0.13761522,0.13939755,85508603686944768,213.56774,-0.35126999999999997,0.13935
44,33,213.57521599156783,-0.3418691488975213,0.13761522,0.13833296,85790053086789632,213.57522000000003,-0.34189,0.13845
45,33,213.57606656549407,-0.34812225125360274,0.13761522,-1.0,G15_Y1_BS1_134,213.57603999999998,-0.34814,0.14017000000000002
46,33,213.5660546724536,-0.30172460665903544,0.13761522,-1.0,G15_Y1_BS1_370,213.56599999999997,-0.30175,0.14097
47,33,213.57822501051564,-0.3047703610147097,0.13761522,-1.0,G15_Y1_BS2_231,213.57825,-0.30479,0.1383
48,33,213.58773488452078,-0.3038470738370745,0.13761522,0.13633609,85790053124538368,213.58775,-0.30387,0.13643
49,33,213.6146636130498,-0.2907553259696977,0.13761522,-1.0,G15_Y1_BS2_221,213.61467000000002,-0.29077,0.13566
50,33,213.59308626309254,-0.323383673124742,0.13761522,-1.0,G15_Y1_BS2_222,213.59304,-0.3234,0.13727999999999999
