objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z
587730847964070663,319.72996474,0.52120102,23.388229,0.874999,21.459206,0.070101,20.006197,0.028344,19.350378,0.026326,19.15304,0.073936
587730847964070664,319.72916132,0.52005669,22.431253,0.506394,21.074078,0.062833,19.615086,0.025317,19.028038,0.024919,18.586208,0.056431
587730847964070665,319.73035954,0.52070492,25.152229,1.504763,21.833858,0.105837,20.181686,0.035677,19.70586,0.038683,19.04579,0.073193
587730847964070674,319.73649804,0.5823309,22.509113,0.402102,21.30925,0.057312,19.874456,0.025222,19.326353,0.024935,18.829266,0.051685
587730847964070680,319.7417839,0.53212791,24.080587,1.115573,21.86026,0.081962,20.362854,0.033284,19.798044,0.031593,19.324503,0.069716
587730847964070684,319.74433492,0.54316207,22.256014,0.681261,20.124126,0.042854,18.855093,0.020335,18.345095,0.021339,17.923573,0.049352
587730847964070939,319.67481329,0.5983241,22.164299,0.34235,21.425104,0.07052,20.001688,0.029594,19.422577,0.029445,19.087685,0.073977
587730847964070944,319.67608357,0.59303183,21.817474,0.322474,20.998487,0.063414,20.415651,0.054283,20.038357,0.072143,19.758394,0.173784
587730847964071088,319.71953306,0.51535461,22.761894,0.621947,21.628336,0.093479,20.811071,0.065871,20.527988,0.100723,20.243984,0.226356
587730847964071140,319.73273066,0.58984131,22.729233,0.503631,21.943569,0.101439,20.777046,0.051037,20.163563,0.049782,19.842983,0.137323
