,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
31,SW,D1,126.0,16.219673360199998,0.046006363888900004,5.880155092764596e+17,16.21930809,0.04585959,24.832039,1.867607,21.657909,0.083469,20.147351999999998,0.033949,19.59684,0.033658,19.398878,0.123197,0.250066,0.018962,,,,,
32,SW,D2,26.0,16.2215900264,0.0574785861111,5.880155092764591e+17,16.22195168,0.05723525,21.693937,0.355106,20.455458,0.038272,18.987011,0.017053,18.367165,0.015813,18.007273,0.047856,0.300849,0.052899,,,,,
33,SW,D2,36.0,16.2126316932,0.05578414166669999,5.880155092764595e+17,16.21292001,0.05549497,22.979979999999998,0.752378,21.783894,0.08404099999999999,20.162163,0.031356999999999996,19.661409,0.032152999999999994,19.437979000000002,0.115383,0.189751,0.056503,,,,,
34,SW,D2,135.0,16.2076733603,0.0436452527778,5.880155092764595e+17,16.20756183,0.04393941,23.804819000000002,1.486169,21.626406,0.08015800000000001,20.103806,0.032376,19.512716,0.030902,19.419370999999998,0.124126,0.256209,0.028672000000000003,,,,,
35,SW,D2,163.0,16.2056733604,0.0402008083333,5.880155092764595e+17,16.20613937,0.03990812,21.119577,0.201025,20.306082,0.032069,19.529089000000003,0.024607,19.125778,0.027776,18.757423,0.089473,0.244354,0.041831,,,,,
36,SW,D2,218.0,16.1996733606,0.033284141666700004,5.880155092764591e+17,16.19995408,0.03306965,22.047285000000002,0.45212600000000003,21.081217000000002,0.060513,19.545841,0.024434,19.041101,0.025197999999999998,18.732445000000002,0.083163,0.23893499999999998,0.08870900000000001,,,,,
37,SW,D2,239.0,16.212631694000002,0.031617475,5.880155092764591e+17,16.21304672,0.03193791,23.052515,1.030327,20.941565,0.052216,19.417709,0.023071,18.797873000000003,0.021066,18.468922,0.065998,0.27725900000000003,0.017051,,,,,
38,SW,D3,68.0,16.2196316933,0.0517563638889,5.880155092764596e+17,16.21959011,0.05123377,22.194191,0.43398400000000004,21.641211,0.085425,20.644361,0.0519,19.812545999999998,0.040755,19.672956,0.166002,0.505869,0.14251,,,,,
39,SW,D3,115.0,16.2267150269,0.046561919444399996,5.880155092764596e+17,16.22695253,0.04618111,22.406931,0.5024649999999999,21.441448,0.06983400000000001,20.070299,0.031192,19.487282,0.029818,19.282864,0.11014000000000002,0.28055599999999997,0.11460899999999999,,,,,
40,SW,D3,148.0,16.2056316937,0.041367475,5.880155092764595e+17,16.20508605,0.041231300000000005,25.392758999999998,1.612826,21.519811999999998,0.081148,20.029196,0.033453,19.399385000000002,0.031150999999999998,19.055477,0.101263,0.27931300000000003,0.0227,,,,,
41,SW,D3,228.0,16.220631694,0.032784141666700004,5.880155092764596e+17,16.22056074,0.03248724,22.417376,0.659529,21.187199,0.070094,20.373001000000002,0.051827,20.193241,0.073339,19.69978,0.21572199999999997,0.12211199999999998,0.062691,,,,,
42,,,,,,5.880155092764593e+17,,,24.361233,2.264764,20.938157999999998,0.05360499999999999,19.435669,0.022678999999999998,18.836752,0.021437,18.369013,0.060871,0.284661,0.026910000000000003,,,,,
