,objID,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err
40,587734304875610357,328.34280812,0.15294213,24.542101000000002,1.818511,20.965410000000002,0.043542000000000004,19.483759,0.019934999999999998,18.930387,0.017897,18.533396,0.052311,328.34280812,0.15294213,0.226115,0.017534
41,587734304875610403,328.3753868,0.20313847,21.446115,0.34464,20.429029,0.050013,19.287685,0.03106,18.817053,0.029961,18.319366,0.07754,328.3753868,0.20313847,0.305987,0.08986799999999999
42,587734304875610667,328.29518677,0.18645379,22.827396,0.851675,21.57102,0.090228,20.488867000000003,0.05606900000000001,20.013783,0.054518,19.476526,0.150171,328.29518677,0.18645379,0.243038,0.061443
43,587734304875610688,328.30480363,0.16514661,26.457325,0.693785,21.990063,0.112775,20.655376,0.055203999999999996,20.195141,0.053762,19.601554999999998,0.141785,328.30480363,0.16514661,0.194699,0.03945
44,587734304875610697,328.31177105,0.17593367,24.352442,2.054754,21.727188,0.094316,20.799818,0.06797,20.424049,0.071938,19.663195,0.164483,328.31177105,0.17593367,0.093236,0.042092000000000004
45,587734304875610770,328.34485744,0.15976251,22.267944,1.438584,20.773153,0.11793599999999999,20.347794,0.146601,20.107492,0.163868,20.274651000000002,0.9224,328.34485744,0.15976251,0.026565,0.015580000000000002
46,587734304875610858,328.3712854,0.19824447,24.795691,2.3176099999999997,21.241154,0.068133,19.902334,0.034464,19.360781,0.031527,19.026761999999998,0.10213,328.3712854,0.19824447,0.189625,0.024666999999999998
47,587734304875610861,328.37424733,0.17618155,22.203705,0.40583800000000003,21.953215,0.101363,20.677197,0.053567,20.119715,0.04845,19.695444000000002,0.149628,328.37424733,0.17618155,0.340888,0.11110899999999999
48,587734304875610876,328.37858054,0.17302833,22.642143,0.697652,21.295895,0.068982,20.197070999999998,0.043102999999999995,19.762781,0.043771,19.389664,0.139057,328.37858054,0.17302833,0.20603400000000002,0.038823
49,587731186726928420,328.29431778,0.21198373,23.915894,1.0501639999999999,20.476942,0.02802,20.960808,0.061202,20.384552,0.055349,20.22958,0.178201,328.29431778,0.21198373,0.032673,0.043847000000000004
50,587731186726928592,328.38205188,0.21384482,22.452084,0.532091,21.303532,0.063026,20.059801,0.034977999999999995,20.165991,0.056885000000000005,19.320261,0.11751600000000001,328.38205188,0.21384482,0.155003,0.10291600000000001
51,587734304875610332,328.31745122,0.14962421,22.143670999999998,0.386676,21.390663,0.064473,20.040782999999998,0.032021,19.477287,0.028611,18.990795000000002,0.080651,328.31745122,0.14962421,0.346609,0.09153
52,587734304875610884,328.38215136,0.17243522,25.141329000000002,1.66726,21.513348,0.06905499999999999,20.114546,0.033147,19.548237,0.029414999999999997,19.020679,0.07959400000000001,328.38215136,0.17243522,0.213123,0.027241
53,587734304875611342,328.38802578,0.18972723,22.027649,7.9241470000000005,19.873753,0.361161,21.831745,3.857418,26.236917,9.852798,18.831442000000003,1.7396029999999998,328.38802578,0.18972723,0.002797,0.11708299999999999
