,tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err
20,NW,2,153.0,319.688339896,0.569200808333,5.87730847964071e+17,319.68853697,0.56956984,24.042891,1.38755,21.548498000000002,0.07777,20.628256,0.048299,19.98583,0.045673000000000005,19.563448,0.10806800000000001,0.094449,0.029595999999999997,,,,,
21,NW,2,209.0,319.684339899,0.562284141667,5.877308479640707e+17,319.68453946,0.5618284,23.686562,1.372154,20.864667999999998,0.05134299999999999,19.242064000000003,0.020033000000000002,18.625582,0.019425,18.228291,0.041597,0.273402,0.015343,,,,,
22,NW,3,149.0,319.681256563,0.568589697222,5.877308479640709e+17,319.68121145,0.56846497,23.371031,1.06897,21.920473,0.124048,20.526276,0.051858,20.017433,0.055687,19.71167,0.147287,0.208625,0.059912,,,,,
23,NW,3,161.0,319.676298231,0.566839697222,5.877308479640709e+17,319.67601718,0.56726268,23.657035999999998,0.939845,21.781771,0.080676,20.305119,0.032039,19.707210999999997,0.031239999999999997,19.269962,0.073062,0.22555300000000003,0.017213,,,,,
24,NW,3,191.0,319.67833989900004,0.5634230305560001,5.877308479640709e+17,319.67821763,0.56364149,22.381063,0.430479,21.973318,0.11890999999999999,20.722853,0.057173,20.276869,0.063528,19.9506,0.204723,0.321216,0.111126,,,,,
25,NW,3,218.0,319.67433989999995,0.559950808333,5.877308479640051e+17,319.67406956,0.56012264,21.819065,0.317775,20.1563,0.030832,19.077564000000002,0.017991,18.584387,0.020078,18.195375,0.043242,0.157123,0.022088999999999998,,,,,
26,SE,1,55.0,319.723214903,0.554839697222,5.877308479640712e+17,319.72309678,0.55504218,25.019257999999997,3.8628769999999997,20.280478,0.062161,18.899429,0.026923000000000002,18.375025,0.027995999999999997,17.941338000000002,0.065478,0.198142,0.04056,,,,,
27,SE,1,185.0,319.722256576,0.539339697222,5.87730847964071e+17,319.72172605,0.53927767,23.123091,0.632007,21.766203,0.079451,20.358013,0.033123,19.732632000000002,0.031719,19.268869,0.07052,0.27569499999999997,0.062076,,,,,
28,SE,2,14.0,319.727173234,0.559478586111,5.877308479640704e+17,319.72710769,0.5594783,25.939957,1.577302,21.884445,0.179172,21.613256,0.20568000000000003,21.561235,0.33484400000000003,22.203611,1.644973,0.082697,0.057128,,,,,
29,SE,2,19.0,319.70821490099996,0.5577285861110001,5.877308479640704e+17,319.70835606,0.55728547,23.976592999999998,1.619689,20.640082999999997,0.042832999999999996,19.071424,0.01662,18.464241,0.01595,18.177,0.039781,0.2525,0.017218,,,,,
30,SE,2,24.0,319.718131568,0.557756363889,5.877308479640707e+17,319.71861174,0.55756539,21.859188,0.36406700000000003,20.770414000000002,0.056863,19.298903,0.026898000000000002,18.71862,0.024049,18.441945999999998,0.060367,0.24250500000000003,0.098459,,,,,
31,SE,2,42.0,319.725256569,0.5560063638889999,5.877308479640712e+17,319.7248232,0.55591048,23.371592,1.040437,21.462181,0.081459,19.969603,0.031546,19.333498000000002,0.030152999999999996,18.899826,0.069422,0.233506,0.021554,,,,,
32,SE,2,49.0,319.710214903,0.554284141667,5.87730847964071e+17,319.71041404,0.55478466,23.143909,0.724737,21.633354,0.079953,20.56204,0.044902,20.102215,0.050081,19.824106,0.130829,0.184666,0.025744,,,,,
33,SE,2,155.0,319.71921490799997,0.5421730305560001,5.87730847964071e+17,319.71946125,0.54228391,23.416083999999998,0.8975350000000001,21.797276,0.092239,20.334255,0.036467,19.73826,0.035866,19.254791,0.079471,0.22443400000000002,0.035727999999999996,,,,,
34,SE,2,240.0,319.715214913,0.531895252778,5.87730847964071e+17,319.71550951,0.53230416,21.027770999999998,0.20693499999999998,19.812891,0.031001,19.286070000000002,0.02696,18.944727,0.033904000000000004,18.679257999999997,0.088047,0.053730999999999994,0.017539,,,,,
35,SE,3,56.0,319.725214903,0.5537008083330001,5.877308479640709e+17,319.72540654,0.55343608,21.37295,0.179791,20.475498,0.032482,19.857946,0.026587,19.520526999999998,0.031717,19.374784,0.096069,0.184277,0.035962,,,,,
36,SE,3,223.0,319.711256579,0.533034141667,5.87730847964071e+17,319.71126376,0.53353174,23.663275,0.992662,21.920229,0.095875,20.53826,0.040677,19.977114,0.041324,19.745337,0.11450999999999999,0.19801300000000002,0.030801,,,,,
37,SW,1,100.0,319.699298238,0.549673030556,5.8773084796407e+17,319.69909145,0.54971307,21.073782,0.21364,19.428151999999997,0.021783,18.196234,0.011399,17.663017,0.011565,17.306932,0.026779,0.197858,0.023693000000000002,,,,,
38,SW,1,106.0,319.68229823900003,0.547978586111,5.877308479640707e+17,319.68201,0.54748477,23.142412,0.74161,21.77457,0.092685,20.523439,0.043604000000000004,19.992506,0.045732,19.705317,0.123723,0.196492,0.050179,,,,,
39,SW,1,120.0,319.681256573,0.546173030556,5.877308479640707e+17,319.68085788,0.54598628,22.080664000000002,0.415508,20.746551999999998,0.051703,19.216263,0.020392,18.616943,0.019767,18.20479,0.045611,0.273611,0.057123,,,,,
40,SW,1,152.0,319.687298241,0.542756363889,5.877308479640707e+17,319.68759828,0.54262882,23.68965,1.800927,20.276851999999998,0.040781,18.621101,0.014634000000000001,18.033507999999998,0.014297,17.652449,0.033407,0.275958,0.015425999999999999,,,,,
41,SW,1,167.0,319.68833990900004,0.541089697222,5.877308479640707e+17,319.68783899,0.54085633,22.534848999999998,0.517636,21.461088,0.079658,19.913773000000003,0.029887999999999998,19.305277,0.028977,18.915283,0.07526000000000001,0.315827,0.094878,,,,,
42,SW,2,38.0,319.69025656900004,0.555950808333,5.877308479640709e+17,319.68985110000006,0.55613192,21.873972,0.31338699999999997,21.455191,0.085785,20.542973999999997,0.056379,20.383152,0.078587,20.498796,0.307265,0.17693399999999998,0.12701500000000002,,,,,
43,SW,2,122.0,319.68429824,0.545756363889,5.877308479640708e+17,319.6841798,0.54601718,24.059905999999998,1.396575,21.870924,0.102133,20.291309,0.036701,19.788439,0.038926999999999996,19.517689,0.105196,0.21906199999999998,0.024447,,,,,
44,SW,2,192.0,319.679339911,0.537034141667,5.877308479640703e+17,319.67958278,0.53698865,22.610996,1.042876,21.36982,0.137165,20.327208,0.07775399999999999,19.990074,0.098432,20.030813000000002,0.355875,0.120823,0.062234000000000005,,,,,
45,SW,2,206.0,319.678298245,0.535311919444,5.877308479640703e+17,319.67791459,0.53503008,22.108126000000002,0.575272,19.110664,0.018196,17.624933,0.008092547,17.06979,0.007977616,16.724638,0.017986000000000002,0.22942800000000002,0.014188,2.7804138815356928e+17,319.67791,0.5350272,0.27102,0.000178805
46,SW,3,220.0,319.678381579,0.533034141667,5.877308479640703e+17,319.67847806,0.53273961,22.20714,0.35697,21.815434,0.10358699999999998,21.049084,0.073634,20.835307999999998,0.09839500000000001,20.463285,0.248214,0.299671,0.035172,,,,,
