,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
14,SW,D3,132.0,194.184188758,25.7820001194,1.2376674488809556e+18,194.183821247406,25.782266050133902,21.57317,0.23957929999999997,19.65399,0.01965414,18.05816,0.009163699,17.49219,0.008745741999999999,17.13764,0.02048749,0.31042600000000004,0.030073000000000003,2.9961956495500513e+18,194.18382,25.782273,0.2837582,6.112879e-05
15,SW,D3,138.0,194.19727209200002,25.782083452800002,1.2376674488809562e+18,194.196871773971,25.781871989475302,22.29929,0.2449929,21.72105,0.06038059,21.11597,0.05890569,21.025129999999997,0.0844287,21.07046,0.3250857,0.217098,0.08794400000000001,,,,,
16,SW,D3,180.0,194.19406370599998,25.777027897199996,1.2376674488809562e+18,194.194197204883,25.777030524293604,22.03592,0.5359046,21.57303,0.1436027,21.15427,0.1693107,21.37181,0.3391692,20.360889999999998,0.5139274,0.322786,0.151834,,,,,
17,,,,,,1.2376674488809556e+18,,,21.62067,0.1412504,20.95344,0.03239555,20.21761,0.02779844,20.01536,0.03570224,19.57645,0.08927263,0.308277,0.045008,,,,,
18,,,,,,1.2376674488809562e+18,,,24.83586,2.199192,21.8927,0.1487318,21.189870000000003,0.1356889,20.712310000000002,0.1487971,20.63622,0.5118269,0.111279,0.083426,,,,,
19,,,,,,1.2376674488809562e+18,,,21.556179999999998,0.2282678,20.54188,0.04043622,19.92466,0.03794003,19.56954,0.04425954,19.30923,0.1308657,0.143396,0.05005,,,,,
20,,,,,,1.2376674488809562e+18,,,23.649910000000002,1.155154,21.8643,0.11740679999999999,20.43395,0.0531835,19.79887,0.04844787,19.38216,0.12266569999999999,0.27091,0.053149,,,,,
21,,,,,,1.2376674488809562e+18,,,22.03801,0.28740959999999993,21.33847,0.06240056,20.63721,0.05656483,20.08594,0.05658169,19.859679999999997,0.1722761,0.335187,0.068377,,,,,
22,,,,,,1.2376674488809554e+18,,,23.236060000000002,0.7626531,21.53855,0.07176312,20.38806,0.04537947,19.9374,0.04888628,19.67495,0.1421012,0.19601400000000002,0.021580000000000002,,,,,
23,,,,,,1.2376674488809554e+18,,,21.545289999999998,0.2674003,20.37335,0.05366111,19.66529,0.04087143,19.555039999999998,0.05049967,19.570320000000002,0.16102429999999998,0.184721,0.09173200000000001,,,,,
24,,,,,,1.2376674488809556e+18,,,21.420289999999998,0.1537167,19.70203,0.01629571,18.68925,0.01143273,18.2932,0.01229935,17.97115,0.03050311,0.134804,0.013541,,,,,
25,,,,,,1.2376674488809556e+18,,,21.56287,0.1930904,21.042679999999997,0.04963797,20.2513,0.04126971,20.012520000000002,0.05520442,19.66743,0.1482828,0.342611,0.048888,,,,,
26,,,,,,1.237667448880956e+18,,,23.20289,0.6295458,21.34587,0.05248847,20.44699,0.03988542,20.14583,0.04845595,19.84176,0.1355218,0.11321099999999999,0.025522,,,,,
27,,,,,,1.237667448880956e+18,,,22.5646,0.5076192,21.511329999999997,0.0842331,20.8147,0.0771066,20.0408,0.06208468,19.35099,0.12357080000000001,0.5543710000000001,0.205517,,,,,
28,,,,,,1.2376674488809562e+18,,,22.87811,0.461713,21.81639,0.07423937,21.16627,0.07272154,21.0883,0.1061181,20.60877,0.2608548,0.22096300000000002,0.13533599999999998,,,,,
29,,,,,,1.2376674488809562e+18,,,22.801679999999998,0.43621909999999997,21.86346,0.07099783,20.80371,0.047942900000000004,20.41307,0.05357774,20.12056,0.15338110000000002,0.29431,0.055538,,,,,
30,,,,,,1.2376674488809562e+18,,,25.028129999999997,0.8796607,21.60455,0.05180127,19.9083,0.02126197,19.37785,0.02094116,19.10653,0.05731213,0.30116,0.022454,,,,,
31,,,,,,1.2376674488809562e+18,,,22.2955,0.31385830000000003,21.79329,0.08232319,20.92715,0.06516963,20.88975,0.1038757,20.90628,0.3860373,0.322723,0.113943,,,,,
32,,,,,,1.2376674488809562e+18,,,21.15636,0.22046820000000003,21.03356,0.08025333,20.22598,0.06665462,19.98965,0.09088424,19.722820000000002,0.2649727,0.393312,0.11893599999999999,,,,,
33,,,,,,1.2376674488809562e+18,,,22.522879999999997,0.4892931,21.76332,0.10185069999999999,20.67597,0.06635959,20.41996,0.08688771,20.24396,0.27533209999999997,0.392581,0.063229,,,,,
34,,,,,,1.2376674488809562e+18,,,20.945,0.4289633,20.79254,0.1532417,22.02648,0.8224099,25.31943,4.267996,24.64878,2.041058,0.07787000000000001,-1000.0,,,,,
35,,,,,,1.237667448881021e+18,,,20.24436,0.06104029,18.505029999999998,0.007899537,17.632170000000002,0.00615795,17.23655,0.006485899,16.93514,0.01426858,0.086842,0.016347999999999998,2.996191526381447e+18,194.25189,25.822039,0.07831309,2.090382e-05
36,,,,,,1.2376674488810212e+18,,,22.373,0.3704949,21.846,0.09504708,21.00486,0.08421752,20.531229999999997,0.08264362,20.534760000000002,0.3162716,0.424343,0.156686,,,,,
37,,,,,,1.2376674488810212e+18,,,21.97515,0.3672008,21.31109,0.08384629,20.43163,0.06353629,20.113120000000002,0.07869598,20.11904,0.30458670000000004,0.329497,0.12771300000000002,,,,,
38,,,,,,1.2376679127443707e+18,,,22.43672,0.3791883,21.901229999999998,0.07888494,21.13026,0.06212147,20.84424,0.07203789,20.16215,0.1428931,0.40820300000000004,0.147997,,,,,
39,,,,,,1.2376679127443707e+18,,,23.59123,0.8838110999999998,21.92455,0.07628492,21.01655,0.05305671,20.71611,0.06104577,20.45156,0.1716603,0.173341,0.022742,,,,,
40,,,,,,1.2376679127443707e+18,,,22.06664,0.2591157,21.689,0.06405129,20.55602,0.03624108,20.17476,0.03815869,19.74408,0.09405203,0.382781,0.061765,,,,,
41,,,,,,1.2376679127443707e+18,,,21.1893,0.1691675,20.54344,0.03445443,19.52094,0.02381654,19.16481,0.02442859,18.80474,0.06105565,0.363808,0.056945,,,,,
42,,,,,,1.2376679127443707e+18,,,22.88203,0.6451489,21.59481,0.07403445,21.19405,0.08750276,20.76588,0.08339665,20.69184,0.27353340000000004,0.07169400000000001,0.023379,,,,,
