tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err
SE,1.0,55.0,319.723214903,0.554839697222,5.87730847964e+17,319.72309678,0.55504218,25.019258,3.862877,20.280478,0.062161,18.899429,0.026923,18.375025,0.027996,17.941338,0.065478,0.198142,0.04056,,,,,,c319p70+0p56,0.0,0.27173,0.00013
SE,1.0,185.0,319.722256576,0.539339697222,5.87730847964e+17,319.72172605,0.53927767,23.123091,0.632007,21.766203,0.079451,20.358013,0.033123,19.732632,0.031719,19.268869,0.07052,0.275695,0.062076,,,,,,c319p70+0p56,1.0,0.27737,0.00017
SE,2.0,14.0,319.727173234,0.559478586111,5.87730847964e+17,319.72710769,0.5594783,25.939957,1.577302,21.884445,0.179172,21.613256,0.20568,21.561235,0.334844,22.203611,1.644973,0.082697,0.057128,,,,,,,,,
SE,2.0,19.0,319.708214901,0.557728586111,5.87730847964e+17,319.70835606,0.55728547,23.976593,1.619689,20.640083,0.042833,19.071424,0.01662,18.464241,0.01595,18.177,0.039781,0.2525,0.017218,,,,,,c319p70+0p56,0.0,0.27939,0.00017
SE,2.0,24.0,319.718131568,0.557756363889,5.87730847964e+17,319.71861174,0.55756539,21.859188,0.364067,20.770414,0.056863,19.298903,0.026898,18.71862,0.024049,18.441946,0.060367,0.242505,0.098459,,,,,,c319p70+0p56,0.0,0.27858,0.00013
SE,2.0,42.0,319.725256569,0.556006363889,5.87730847964e+17,319.7248232,0.55591048,23.371592,1.040437,21.462181,0.081459,19.969603,0.031546,19.333498,0.030153,18.899826,0.069422,0.233506,0.021554,,,,,,c319p70+0p56,0.0,0.27535,0.00013
SE,2.0,49.0,319.710214903,0.554284141667,5.87730847964e+17,319.71041404,0.55478466,23.143909,0.724737,21.633354,0.079953,20.56204,0.044902,20.102215,0.050081,19.824106,0.130829,0.184666,0.025744,,,,,,,,,
SE,2.0,155.0,319.719214908,0.542173030556,5.87730847964e+17,319.71946125,0.54228391,23.416084,0.897535,21.797276,0.092239,20.334255,0.036467,19.73826,0.035866,19.254791,0.079471,0.224434,0.035728,,,,,,c319p70+0p56,1.0,0.21316,0.00028
SE,2.0,240.0,319.715214913,0.531895252778,5.87730847964e+17,319.71550951,0.53230416,21.027771,0.206935,19.812891,0.031001,19.28607,0.02696,18.944727,0.033904,18.679258,0.088047,0.053731,0.017539,,,,,,,,,
SE,3.0,56.0,319.725214903,0.553700808333,5.87730847964e+17,319.72540654,0.55343608,21.37295,0.179791,20.475498,0.032482,19.857946,0.026587,19.520527,0.031717,19.374784,0.096069,0.184277,0.035962,,,,,,c319p70+0p56,0.0,0.22845,2e-05
SE,3.0,223.0,319.711256579,0.533034141667,5.87730847964e+17,319.71126376,0.53353174,23.663275,0.992662,21.920229,0.095875,20.53826,0.040677,19.977114,0.041324,19.745337,0.11451,0.198013,0.030801,,,,,,,,,
SW,1.0,100.0,319.699298238,0.549673030556,5.87730847964e+17,319.69909145,0.54971307,21.073782,0.21364,19.428152,0.021783,18.196234,0.011399,17.663017,0.011565,17.306932,0.026779,0.197858,0.023693,,,,,,c319p70+0p56,0.0,0.22756,5e-05
SW,1.0,106.0,319.682298239,0.547978586111,5.87730847964e+17,319.68201,0.54748477,23.142412,0.74161,21.77457,0.092685,20.523439,0.043604,19.992506,0.045732,19.705317,0.123723,0.196492,0.050179,,,,,,,,,
SW,1.0,120.0,319.681256573,0.546173030556,5.87730847964e+17,319.68085788,0.54598628,22.080664,0.415508,20.746552,0.051703,19.216263,0.020392,18.616943,0.019767,18.20479,0.045611,0.273611,0.057123,,,,,,c319p70+0p56,0.0,0.28107,0.00019
SW,1.0,152.0,319.687298241,0.542756363889,5.87730847964e+17,319.68759828,0.54262882,23.68965,1.800927,20.276852,0.040781,18.621101,0.014634,18.033508,0.014297,17.652449,0.033407,0.275958,0.015426,,,,,,c319p70+0p56,0.0,0.27704,9e-05
SW,1.0,167.0,319.688339909,0.541089697222,5.87730847964e+17,319.68783899,0.54085633,22.534849,0.517636,21.461088,0.079658,19.913773,0.029888,19.305277,0.028977,18.915283,0.07526,0.315827,0.094878,,,,,,c319p70+0p56,0.0,0.27865,0.00017
SW,2.0,38.0,319.690256569,0.555950808333,5.87730847964e+17,319.6898511,0.55613192,21.873972,0.313387,21.455191,0.085785,20.542974,0.056379,20.383152,0.078587,20.498796,0.307265,0.176934,0.127015,,,,,,c319p70+0p56,1.0,0.301,6e-05
SW,2.0,122.0,319.68429824,0.545756363889,5.87730847964e+17,319.6841798,0.54601718,24.059906,1.396575,21.870924,0.102133,20.291309,0.036701,19.788439,0.038927,19.517689,0.105196,0.219062,0.024447,,,,,,c319p70+0p56,0.0,0.27752,0.00014
SW,2.0,192.0,319.679339911,0.537034141667,5.87730847964e+17,319.67958278,0.53698865,22.610996,1.042876,21.36982,0.137165,20.327208,0.077754,19.990074,0.098432,20.030813,0.355875,0.120823,0.062234,,,,,,,,,
SW,2.0,206.0,319.678298245,0.535311919444,5.87730847964e+17,319.67791459,0.53503008,22.108126,0.575272,19.110664,0.018196,17.624933,0.008092547,17.06979,0.007977616,16.724638,0.017986,0.229428,0.014188,2.78041388154e+17,319.67791,0.5350272,0.27102,0.000178805,c319p70+0p56,0.0,0.27001,7e-05
SW,3.0,220.0,319.678381579,0.533034141667,5.87730847964e+17,319.67847806,0.53273961,22.20714,0.35697,21.815434,0.103587,21.049084,0.073634,20.835308,0.098395,20.463285,0.248214,0.299671,0.035172,,,,,,c319p70+0p56,0.0,0.27392,4e-05
,,,,,5.87730847964e+17,,,21.908422,0.310148,21.722359,0.105479,21.155174,0.088987,20.837475,0.113069,20.942564,0.424575,0.233442,0.024393,,,,,,,,,
,,,,,5.87730847964e+17,,,22.844721,0.655956,21.099764,0.058217,19.665375,0.025933,19.060078,0.024285,18.725193,0.058298,0.230377,0.020684,,,,,,,,,
,,,,,5.87730847964e+17,,,22.687277,0.625763,21.332066,0.08075,20.500626,0.052441,19.883955,0.051393,19.854145,0.171156,0.127625,0.035664,,,,,,,,,
,,,,,5.87730847964e+17,,,20.794065,0.170323,18.627611,0.014535,17.564686,0.007815727,16.937555,0.00747851,16.68218,0.016282,0.130117,0.038651,,,,,,,,,
