tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,ra_x,dec_x,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,ra_y,dec_y,Photoz,Photoz_err,cluster,Q,redshift,redshift_err
,,,,,5.87734304876e+17,,,328.36764723,0.19351262,23.176657,0.808285,21.548368,0.064074,20.05162,0.028702,19.541712,0.026605,19.07494,0.075322,328.36764723,0.19351262,0.197026,0.052144,,,,
,,,,,5.87734304876e+17,,,328.36755974,0.19947346,22.686642,0.519246,21.700279,0.069753,20.349182,0.034906,19.795677,0.031151,19.366013,0.091197,328.36755974,0.19947346,0.305259,0.08592,,,,
,,,,,5.87731186727e+17,,,328.29904948,0.21034617,22.754791,0.497841,21.547356,0.062065,20.387173,0.03701,21.189827,0.106937,20.210869,0.185028,328.29904948,0.21034617,0.119558,0.120111,,,,
,,,,,5.87731186727e+17,,,328.29732124,0.21008638,23.481543,0.83933,20.866301,0.036469,21.505777,0.12148,21.289494,0.14307,20.18944,0.17986,328.29732124,0.21008638,0.100596,0.077963,,,,
,,,,,5.87731186727e+17,,,328.33949022,0.23571012,22.61389,0.550044,20.63735,0.033641,19.108572,0.015409,18.507055,0.013561,18.160275,0.039781,328.33949022,0.23571012,0.250208,0.015403,,,,
,,,,,5.87731186727e+17,,,328.34607857,0.23433022,21.45327,0.229854,19.977709,0.022532,19.003719,0.01628,18.473288,0.016022,18.118151,0.045316,328.34607857,0.23433022,0.158352,0.022321,,,,
,,,,,5.87731186727e+17,,,328.34964984,0.2224559,23.473608,0.830297,21.349911,0.047463,19.840862,0.022,19.322021,0.020356,18.90451,0.056607,328.34964984,0.2224559,0.223013,0.012351,,,,
,,,,,5.87731186727e+17,,,328.36390733,0.21749101,22.157757,0.491935,20.618376,0.042354,19.222992,0.021549,18.71097,0.021843,18.30896,0.059425,328.36390733,0.21749101,0.210534,0.049894,,,,
,,,,,5.87731186727e+17,,,328.32335038,0.23164061,24.395664,2.225374,21.121317,0.061753,19.606897,0.027348,18.979038,0.023695,18.623697,0.075264,328.32335038,0.23164061,0.248053,0.014052,,,,
,,,,,5.87731186727e+17,,,328.33943969,0.23283664,23.959423,1.273946,21.562519,0.063082,20.233583,0.032345,19.709518,0.030236,19.491215,0.107004,328.33943969,0.23283664,0.186203,0.021251,,,,
,,,,,5.87731186727e+17,,,328.36099418,0.22336333,22.215265,0.482298,21.263609,0.069254,19.660221,0.028077,19.042852,0.024539,18.74387,0.083411,328.36099418,0.22336333,0.290813,0.091829,,,,
,,,,,5.87734304876e+17,,,328.34280812,0.15294213,24.542101,1.818511,20.96541,0.043542,19.483759,0.019935,18.930387,0.017897,18.533396,0.052311,328.34280812,0.15294213,0.226115,0.017534,,,,
,,,,,5.87734304876e+17,,,328.3753868,0.20313847,21.446115,0.34464,20.429029,0.050013,19.287685,0.03106,18.817053,0.029961,18.319366,0.07754,328.3753868,0.20313847,0.305987,0.089868,,,,
,,,,,5.87734304876e+17,,,328.29518677,0.18645379,22.827396,0.851675,21.57102,0.090228,20.488867,0.056069,20.013783,0.054518,19.476526,0.150171,328.29518677,0.18645379,0.243038,0.061443,,,,
,,,,,5.87734304876e+17,,,328.30480363,0.16514661,26.457325,0.693785,21.990063,0.112775,20.655376,0.055204,20.195141,0.053762,19.601555,0.141785,328.30480363,0.16514661,0.194699,0.03945,,,,
,,,,,5.87734304876e+17,,,328.34485744,0.15976251,22.267944,1.438584,20.773153,0.117936,20.347794,0.146601,20.107492,0.163868,20.274651,0.9224,328.34485744,0.15976251,0.026565,0.01558,,,,
,,,,,5.87734304876e+17,,,328.3712854,0.19824447,24.795691,2.31761,21.241154,0.068133,19.902334,0.034464,19.360781,0.031527,19.026762,0.10213,328.3712854,0.19824447,0.189625,0.024667,,,,
,,,,,5.87734304876e+17,,,328.37424733,0.17618155,22.203705,0.405838,21.953215,0.101363,20.677197,0.053567,20.119715,0.04845,19.695444,0.149628,328.37424733,0.17618155,0.340888,0.111109,,,,
,,,,,5.87734304876e+17,,,328.37858054,0.17302833,22.642143,0.697652,21.295895,0.068982,20.197071,0.043103,19.762781,0.043771,19.389664,0.139057,328.37858054,0.17302833,0.206034,0.038823,,,,
,,,,,5.87731186727e+17,,,328.29431778,0.21198373,23.915894,1.050164,20.476942,0.02802,20.960808,0.061202,20.384552,0.055349,20.22958,0.178201,328.29431778,0.21198373,0.032673,0.043847,,,,
,,,,,5.87731186727e+17,,,328.38205188,0.21384482,22.452084,0.532091,21.303532,0.063026,20.059801,0.034978,20.165991,0.056885,19.320261,0.117516,328.38205188,0.21384482,0.155003,0.102916,,,,
,,,,,5.87734304876e+17,,,328.31745122,0.14962421,22.143671,0.386676,21.390663,0.064473,20.040783,0.032021,19.477287,0.028611,18.990795,0.080651,328.31745122,0.14962421,0.346609,0.09153,,,,
,,,,,5.87734304876e+17,,,328.38215136,0.17243522,25.141329,1.66726,21.513348,0.069055,20.114546,0.033147,19.548237,0.029415,19.020679,0.079594,328.38215136,0.17243522,0.213123,0.027241,,,,
,,,,,5.87734304876e+17,,,328.38802578,0.18972723,22.027649,7.924147,19.873753,0.361161,21.831745,3.857418,26.236917,9.852798,18.831442,1.739603,328.38802578,0.18972723,0.002797,0.117083,,,,
