tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,redshift
,,,,,1.23766510222e+18,,,21.59112,0.1406559,20.95675,0.03346436,20.17204,0.02643201,20.03741,0.03026978,19.64465,0.08042087,0.343906,0.039547,,,,,,,
,,,,,1.23766510222e+18,,,22.2482,0.3683038,21.23703,0.06051353,20.65202,0.05708598,20.33436,0.06050115,20.36313,0.2335813,0.143653,0.050828,,,,,,,
,,,,,1.23766510222e+18,,,22.75187,0.7344106,21.78453,0.1231912,20.61357,0.07071571,20.17292,0.06459106,19.8002,0.1817009,0.297386,0.058126,,,,,,,
,,,,,1.23766510222e+18,,,21.33912,0.2604943,21.80164,0.1573201,20.98312,0.1197809,20.09108,0.07623106,19.76956,0.2241942,0.681374,0.176518,,,,,,,
,,,,,1.23766510222e+18,,,23.53991,0.7134951,21.75336,0.0663266,20.51318,0.03634,20.06034,0.03250563,19.78879,0.09614655,0.22406,0.020584,,,,,,,
,,,,,1.23766510222e+18,,,24.34394,1.152935,21.41747,0.05351318,20.02278,0.02636051,19.47133,0.02209442,19.31269,0.06856731,0.251685,0.056803,,,,,,,
,,,,,1.23766510222e+18,,,23.56448,0.6427774,21.78697,0.06117278,20.55661,0.03405339,20.03355,0.02857563,19.75768,0.08272414,0.19858,0.023162,,,,,,,
,,,,,1.23766510222e+18,,,21.91873,0.2957545,21.04156,0.05478237,20.73614,0.06792007,20.56741,0.0770063,20.06475,0.1902904,0.112172,0.071618,,,,,,,
,,,,,1.23766510222e+18,,,23.52539,0.8075499,21.18396,0.04665103,19.87161,0.02443533,19.34148,0.02082434,18.92144,0.05240152,0.181198,0.01,,,,,,,
,,,,,1.23766510222e+18,,,23.08604,0.5422094,21.97162,0.08442651,20.66579,0.04354622,20.14836,0.03681434,19.89235,0.1116877,0.308703,0.065604,,,,,,,
,,,,,1.23766510222e+18,,,23.37863,0.8879654,21.40265,0.06598625,20.24651,0.0389145,19.90275,0.03974288,19.49978,0.1037872,0.156656,0.015844,,,,,,,
,,,,,1.23766510222e+18,,,23.16096,0.6154827,21.96935,0.08694071,21.29616,0.07720196,20.9144,0.07493679,20.71373,0.2371388,0.134384,0.029016,,,,,,,
,,,,,1.23766510222e+18,,,22.54602,0.337294,21.69209,0.06450347,20.44635,0.03515416,19.94396,0.0304291,19.73594,0.09476371,0.336907,0.081048,,,,,,,
,,,,,1.23766510222e+18,,,23.37975,0.8617989,21.72956,0.08565301,20.21038,0.03643035,19.60612,0.02960649,19.13741,0.07381289,0.280295,0.045624,,,,,,,
