,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
18,NW,D1,167.0,203.80970540200002,41.0078334722,1.2376623067224486e+18,203.810004053634,41.0082590214614,22.60904,0.3041517,21.126179999999998,0.03927963,19.694370000000003,0.01831149,19.2057,0.01812852,18.9237,0.05962044,0.293506,0.044427999999999995,,,,,
19,NW,D2,27.0,203.821538103,41.0244723611,1.2376623067224486e+18,203.82173692763303,41.024238613487206,22.2133,0.2587349,21.447570000000002,0.05904744,20.20768,0.03099903,19.80163,0.03418547,19.53151,0.1226818,0.37578,0.06377200000000001,,,,,
20,NW,D2,63.0,203.801621631,41.019333472199996,1.2376623067224476e+18,203.80202500566503,41.0196037809877,20.64552,0.08774781,19.545939999999998,0.01587958,18.835420000000003,0.01394445,18.44315,0.01489809,18.207179999999997,0.05212356,0.160434,0.023211000000000002,,,,,
21,NW,D2,73.0,203.789788365,41.017583472199995,1.2376623067224476e+18,203.790541138824,41.0176386143192,23.61599,0.6357619999999999,21.39915,0.04776718,19.99545,0.02221024,19.52283,0.02253344,19.21165,0.07467189,0.22127399999999997,0.010548,,,,,
22,NW,D2,165.0,203.803080425,41.0072223611,1.237662306722448e+18,203.80303623104498,41.0069907337802,22.00677,0.2090524,20.05847,0.0197541,18.744670000000003,0.01067099,18.26933,0.01055116,17.929370000000002,0.03013645,0.203541,0.010653,,,,,
23,NW,D2,171.0,203.818955423,41.0072779167,1.237662306722448e+18,203.81847600680598,41.00703267010571,22.2838,0.21112060000000002,21.84541,0.06459428,21.68384,0.07849355,21.658929999999998,0.12289569999999998,21.36145,0.43178420000000006,0.127452,0.071754,,,,,
24,NW,D2,173.0,203.82424709400001,41.0071668056,1.237662306722448e+18,203.824632667205,41.007545101029294,23.30442,0.4959226,20.93155,0.03304664,19.48759,0.01551982,18.97585,0.01494878,18.65716,0.04615471,0.245556,0.020031,,,,,
25,NW,D2,182.0,203.809747155,41.0055556944,1.2376623067224486e+18,203.80966706052502,41.00503907151089,23.13995,0.35779099999999997,21.810029999999998,0.05550334,20.40784,0.02542365,19.91992,0.02550296,19.69903,0.09167963,0.28920999999999997,0.048068,,,,,
26,NW,D2,220.0,203.79520568799998,41.0003056944,1.2376623067224481e+18,203.79538191114398,41.0008532650209,22.40564,0.30121090000000006,20.5463,0.02849044,19.44894,0.01728865,18.91345,0.01689123,18.632,0.05622612,0.178976,0.017428,,,,,
27,NW,D2,239.0,203.80695575099998,40.9986390278,1.2376623067224486e+18,203.806595167384,40.9984954944712,24.835060000000002,0.8389479999999999,21.60462,0.05445462,20.24304,0.02587605,19.74837,0.02590863,19.489810000000002,0.09137691,0.20743699999999998,0.015231999999999999,,,,,
28,NW,D3,20.0,203.804371459,41.02386125,1.2376623067224474e+18,203.80391301743302,41.02349468626,22.395979999999998,0.22346300000000002,21.35276,0.04197878,20.78024,0.03636441,20.35626,0.03902471,20.14424,0.15166849999999998,0.11256600000000001,0.027880000000000002,,,,,
29,NW,D3,124.0,203.810913583,41.011833472199996,1.2376623067224486e+18,203.811047260845,41.0123589221387,22.33792,0.2247916,21.54637,0.05143832,20.80641,0.03951516,20.467270000000003,0.04587935,20.1112,0.1548016,0.2659,0.05210599999999999,,,,,
30,NW,D3,142.0,203.82024698,41.0101668056,1.237662306722448e+18,203.82075527986999,41.009875517331295,23.17127,0.4425662,20.87558,0.03112991,19.44079,0.01484342,18.950329999999997,0.01457912,18.61501,0.04370179,0.23733200000000002,0.014063999999999998,,,,,
31,NW,D3,228.0,203.817622373,40.9998056944,1.2376623067224486e+18,203.818167033945,41.000091253386,25.559739999999998,0.5402123000000001,21.834310000000002,0.05963257,20.49335,0.02859081,20.03882,0.02963828,19.690260000000002,0.09764063,0.21512399999999998,0.024085,,,,,
32,SE,D1,27.0,203.85849743900002,40.9980834722,1.237662306722449e+18,203.85790341430697,40.9977918141132,21.8996,0.2588147,20.61056,0.03845178,19.354029999999998,0.02033427,18.90769,0.02142588,18.506729999999997,0.06598099,0.284503,0.050405,,,,,
