# tile dither fiber fiber_ra fiber_dec
NE D1 91 354.419298327 0.287589697222
NE D1 92 354.421339994 0.287589697222
NE D1 93 354.423381661 0.287617475
NE D1 94 354.425298327 0.287617475
NE D1 95 354.427298327 0.287561919444
NE D1 96 354.429381661 0.287645252778
NE D1 97 354.431339994 0.287589697222
NE D1 98 354.433298327 0.287645252778
NE D1 99 354.435339994 0.287673030556
NE D1 100 354.437339994 0.287617475
NE D1 101 354.439256661 0.287700808333
NE D1 102 354.412381661 0.285839697222
NE D1 103 354.414339995 0.285811919444
NE D1 104 354.416381661 0.285867475
NE D1 105 354.418381661 0.285923030556
NE D1 106 354.420339995 0.285923030556
NE D1 107 354.422339995 0.285867475
NE D1 108 354.424339995 0.285867475
NE D1 109 354.426298328 0.285923030556
NE D1 110 354.428381661 0.285867475
NE D1 111 354.430298328 0.285923030556
NE D1 112 354.432298328 0.285950808333
NE D1 113 354.434339995 0.285895252778
NE D1 114 354.436298328 0.285867475
NE D1 115 354.438381661 0.285867475
NE D1 116 354.440339995 0.285867475
NE D1 117 354.413339995 0.284173030556
NE D1 118 354.415339995 0.284145252778
NE D1 119 354.417381662 0.284145252778
NE D1 120 354.419298328 0.284117475
NE D1 121 354.421339995 0.284173030556
NE D1 122 354.423339995 0.284256363889
NE D1 123 354.425298328 0.284228586111
NE D1 124 354.427298328 0.284173030556
NE D1 125 354.429339995 0.284200808333
NE D1 126 354.431339995 0.284228586111
NE D1 127 354.433298328 0.284200808333
NE D1 128 354.435339995 0.284228586111
NE D1 129 354.437339995 0.284200808333
NE D1 130 354.439298328 0.284200808333
NE D1 131 354.412381662 0.282450808333
NE D1 132 354.414381662 0.282450808333
NE D1 133 354.416381662 0.282478586111
NE D1 134 354.418381662 0.282423030556
NE D1 135 354.420381662 0.282423030556
NE D1 136 354.422339995 0.282478586111
NE D1 137 354.424339995 0.282423030556
NE D1 138 354.426339995 0.282450808333
NE D1 139 354.428381662 0.282450808333
NE D1 140 354.430381662 0.282478586111
NE D1 141 354.432381662 0.282478586111
NE D1 142 354.434339995 0.282478586111
NE D1 143 354.436339995 0.282478586111
NE D1 144 354.438381662 0.282478586111
NE D1 145 354.440339995 0.282506363889
NE D1 146 354.413381662 0.280617475
NE D1 147 354.415339996 0.280673030556
NE D1 148 354.417339996 0.280700808333
NE D1 149 354.419298329 0.280700808333
NE D1 150 354.421381662 0.280700808333
NE D1 151 354.423339996 0.280728586111
NE D1 152 354.425339996 0.280673030556
NE D1 153 354.427381662 0.280784141667
NE D1 154 354.429339996 0.280756363889
NE D1 155 354.431298329 0.280673030556
NE D1 156 354.433339996 0.280700808333
NE D1 157 354.435298329 0.280784141667
NE D1 158 354.437256662 0.280756363889
NE D1 159 354.439339996 0.280728586111
